"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","BlackBerry","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Mozilla","Obigo","Samsung","Openwave Mobile Browser","AppleWebKit","Midori","Iron","Pale Moon"
Oman ,27.7,24.01,11.32,3.19,1.54,11.82,1.89,10.11,2.12,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,28.44,42.45,17.38,6.62,1.21,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,17.48,37.59,20.72,2.18,1.02,3.33,8.58,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,16.03,38.27,30.26,4,0,2.02,4.41,1.81,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,8.72,18.89,40.96,5.66,6.03,6.04,5.67,4.13,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,51.55,13.69,8.88,22.54,1.04,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,19.9,26.26,43.86,3.02,0,1.93,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,26.48,21.19,28.95,13.83,4.63,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,24.07,11.35,32.6,3.62,0,2.37,15.21,5.52,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.84,23.77,21.91,8.42,2.76,9.34,16.61,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,23.56,7.68,17.9,2.35,1.08,3.78,34.05,4.33,0,1.22,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,17.94,10.37,19.87,2.74,0,1.3,40.81,3.03,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,9.85,12.96,30.63,1.18,0,1.02,26.73,8.08,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,31.89,33.31,13.23,13.28,1.59,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,13.36,13.1,41.55,3.41,0,2.35,18.54,2.92,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,17.26,27.29,36.76,9.56,2.39,3.98,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
