"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Niger ,42.28,27.03,6.88,2.72,0,0,0,13.97,3.84,0,0,0,0,0,0,0,0,0
Turkmenistan ,32.49,19.09,15.27,1.25,0,1.31,0,26.31,2.52,0,0,0,0,0,0,0,0,0
Samoa ,62.14,22.39,9.09,3.28,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,53.77,17.27,7.8,4.79,0,0,0,11.41,2.62,0,0,0,0,0,0,0,0,0
Timor-Leste ,29.64,50.19,9.72,3.47,0,0,0,2.27,3.53,0,0,0,0,0,0,0,0,0
Vanuatu ,45.53,32.27,12.08,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,51.54,15.35,5.59,0,0,0,0,25.32,1.42,0,0,0,0,0,0,0,0,0
Congo (Republic of the),37.05,26.69,6.99,7.87,0,0,0,14.08,4.6,0,0,0,0,0,0,0,0,0
Micronesia ,45.36,30.12,15.13,5.58,0,0,0,1.48,0,0,0,0,0,0,0,0,1.49,0
Burundi ,39.5,41.27,9.01,2.47,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,39.83,41.21,11.87,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,58.8,29.88,8.65,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,30.97,52.4,8.66,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,52.19,25,15.99,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,48.81,45.23,3.24,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.4,17.67,7.58,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,50.47,36.86,5.13,1.51,0,0,0,1.89,1.89,0,0,0,0,0,0,0,0,0
Montserrat ,46.41,21.03,26.08,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,43.82,40.98,6.56,4,0,0,0,1.24,0,0,0,0,2.21,0,0,0,0,0
Sao Tome and Principe ,62.08,23.08,10.54,0,0,0,0,1.83,1.62,0,0,0,0,0,0,0,0,0
Kiribati ,30.85,53.37,13.2,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0
Comoros ,61.13,23.58,4.1,6.69,0,1.61,0,1.57,0,0,0,0,0,0,0,0,0,1.16
Guinea-Bissau ,69.32,14.17,12.55,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,40.59,33.74,11.68,10.04,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0
Palau ,36.72,28.88,23.17,7.87,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0
Saint Helena ,85.9,8.99,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,52.61,25.42,16.19,1.23,0,2.78,0,1,0,0,0,0,0,0,0,0,0,0
Chad ,33.46,27.15,6.02,1.33,0,0,0,23.36,4.92,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,20.96,56.53,15.1,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,41.21,52.62,1.7,2.39,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0
Niue ,29.57,47.84,17.93,1.53,0,0,0,1.16,0,0,0,0,0,0,0,0,1.09,0
Tuvalu ,22.44,59.87,15.73,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0
Nauru ,49.21,34.92,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
